2015-06-07 08:57:13,262,Sensor,INFO,2015-06-07 08:57:13,2.15,14.66,31.53,0.00,0,0,0,0
2015-06-07 08:58:19,669,Sensor,INFO,2015-06-07 08:58:19,2.15,0.00,0.00,0.00,0,0,0,0
2015-06-07 08:59:20,966,Sensor,INFO,2015-06-07 08:59:20,2.22,34.21,76.08,0.21,0,0,0,0
2015-06-07 09:00:22,264,Sensor,INFO,2015-06-07 09:00:22,2.15,9.78,21.02,0.09,0,0,0,0
2015-06-07 09:01:23,468,Sensor,INFO,2015-06-07 09:01:23,2.22,34.21,76.08,0.42,0,0,0,0
2015-06-07 09:02:24,662,Sensor,INFO,2015-06-07 09:02:24,2.30,34.21,78.59,0.55,0,0,0,0
2015-06-07 09:03:25,947,Sensor,INFO,2015-06-07 09:03:25,2.15,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:04:27,140,Sensor,INFO,2015-06-07 09:04:27,2.20,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:05:28,310,Sensor,INFO,2015-06-07 09:05:28,2.20,24.44,53.75,0.60,0,0,0,0
2015-06-07 09:06:29,439,Sensor,INFO,2015-06-07 09:06:29,2.10,14.66,30.82,0.39,0,0,0,0
2015-06-07 09:07:30,693,Sensor,INFO,2015-06-07 09:07:30,2.15,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:08:31,831,Sensor,INFO,2015-06-07 09:08:31,2.22,34.21,76.08,1.16,0,0,0,0
2015-06-07 09:09:33,087,Sensor,INFO,2015-06-07 09:09:33,2.17,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:10:34,248,Sensor,INFO,2015-06-07 09:10:34,2.39,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:11:35,423,Sensor,INFO,2015-06-07 09:11:35,2.39,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:12:36,584,Sensor,INFO,2015-06-07 09:12:36,2.25,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:13:37,758,Sensor,INFO,2015-06-07 09:13:37,2.17,19.55,42.52,0.94,0,0,0,0
2015-06-07 09:14:38,961,Sensor,INFO,2015-06-07 09:14:38,2.25,34.21,76.92,1.82,0,0,0,0
2015-06-07 09:15:40,158,Sensor,INFO,2015-06-07 09:15:40,2.27,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:16:41,344,Sensor,INFO,2015-06-07 09:16:41,2.27,34.21,77.76,2.05,0,0,0,0
2015-06-07 09:17:42,556,Sensor,INFO,2015-06-07 09:17:42,2.17,24.44,53.15,1.48,0,0,0,0
2015-06-07 09:18:43,785,Sensor,INFO,2015-06-07 09:18:43,2.32,0.00,0.00,0.00,0,0,0,0
2015-06-07 09:19:44,982,Sensor,INFO,2015-06-07 09:19:44,2.27,34.21,77.76,2.38,0,0,0,0
2015-06-07 09:20:46,149,Sensor,INFO,2015-06-07 09:20:46,2.17,14.66,31.89,1.02,0,0,0,0
2015-06-07 09:21:47,406,Sensor,INFO,2015-06-07 09:21:47,2.27,34.21,77.76,2.59,0,0,0,0
