2015-08-14 22:48:17,809,Sensor,INFO,2015-08-14 22:48:15,77,803,34,28,0,0,0,0
2015-08-14 22:48:27,830,Sensor,INFO,2015-08-14 22:48:27,6,803,25,27,0,0,0,0
2015-08-14 22:48:37,850,Sensor,INFO,2015-08-14 22:48:37,2,803,33,28,0,0,0,0
2015-08-14 22:48:47,870,Sensor,INFO,2015-08-14 22:48:47,1,803,25,30,0,0,0,0
2015-08-14 22:48:57,890,Sensor,INFO,2015-08-14 22:48:57,0,803,27,32,0,0,0,0
2015-08-14 22:49:07,910,Sensor,INFO,2015-08-14 22:49:07,5,803,32,34,0,0,0,0
2015-08-14 22:49:17,930,Sensor,INFO,2015-08-14 22:49:17,4,803,27,28,0,0,0,0
2015-08-14 22:49:27,941,Sensor,INFO,2015-08-14 22:49:27,5,803,34,32,0,0,0,0
2015-08-14 22:49:37,961,Sensor,INFO,2015-08-14 22:49:37,8,803,28,34,0,0,0,0
2015-08-14 22:49:47,981,Sensor,INFO,2015-08-14 22:49:47,2,802,31,30,0,0,0,0
2015-08-14 22:49:58,001,Sensor,INFO,2015-08-14 22:49:57,11,802,31,27,0,0,0,0
2015-08-14 22:50:08,021,Sensor,INFO,2015-08-14 22:50:08,13,802,25,28,0,0,0,0
2015-08-14 22:50:18,041,Sensor,INFO,2015-08-14 22:50:18,7,802,34,34,0,0,0,0
2015-08-14 22:50:28,063,Sensor,INFO,2015-08-14 22:50:28,11,802,32,27,0,0,0,0
2015-08-14 22:50:38,084,Sensor,INFO,2015-08-14 22:50:38,7,802,31,30,0,0,0,0
2015-08-14 22:50:48,105,Sensor,INFO,2015-08-14 22:50:48,5,802,33,26,0,0,0,0
2015-08-14 22:50:58,125,Sensor,INFO,2015-08-14 22:50:58,6,802,32,26,0,0,0,0
2015-08-14 22:51:08,146,Sensor,INFO,2015-08-14 22:51:08,5,802,33,29,0,0,0,0
2015-08-14 22:51:18,166,Sensor,INFO,2015-08-14 22:51:18,0,802,25,29,0,0,0,0
2015-08-14 22:51:28,181,Sensor,INFO,2015-08-14 22:51:28,0,802,25,28,0,0,0,0
2015-08-14 22:51:38,191,Sensor,INFO,2015-08-14 22:51:38,12,801,31,34,0,0,0,0
2015-08-14 22:51:48,212,Sensor,INFO,2015-08-14 22:51:48,10,801,26,28,0,0,0,0
2015-08-14 22:51:58,232,Sensor,INFO,2015-08-14 22:51:58,7,801,33,33,0,0,0,0
2015-08-14 22:52:08,253,Sensor,INFO,2015-08-14 22:52:08,3,801,33,26,0,0,0,0
2015-08-14 22:52:18,274,Sensor,INFO,2015-08-14 22:52:18,5,801,28,30,0,0,0,0
2015-08-14 22:52:28,296,Sensor,INFO,2015-08-14 22:52:28,8,801,28,31,0,0,0,0
2015-08-14 22:52:38,317,Sensor,INFO,2015-08-14 22:52:38,13,801,34,30,0,0,0,0
2015-08-14 22:52:48,339,Sensor,INFO,2015-08-14 22:52:48,10,801,34,26,0,0,0,0
2015-08-14 22:52:58,351,Sensor,INFO,2015-08-14 22:52:58,1,801,30,30,0,0,0,0
2015-08-14 22:53:08,372,Sensor,INFO,2015-08-14 22:53:08,10,801,26,33,0,0,0,0
2015-08-14 22:53:18,392,Sensor,INFO,2015-08-14 22:53:18,4,801,28,30,0,0,0,0
2015-08-14 22:53:28,412,Sensor,INFO,2015-08-14 22:53:28,2,801,27,31,0,0,0,0
2015-08-14 22:53:38,433,Sensor,INFO,2015-08-14 22:53:38,6,801,32,33,0,0,0,0
